order_id,customer_id,product_id,quantity,order_date
2154,7,201.0,4,2025-11-03
2155,4,201.0,1,2025-11-03
2156,4,201.0,1,2025-11-04
2157,3,203.0,1,2025-11-04
2158,4,205.0,3,not-a-date
2159,2,202.0,3,2025-11-05
2160,4,203.0,4,2025-11-05
2161,3,201.0,1,2025-11-06
2162,8,205.0,4,2025-11-07
2163,8,202.0,1,2025-11-09
2164,6,203.0,1,2025-11-09
2165,999,203.0,4,2025-11-09
2166,1,204.0,3,2025-11-10
2167,1,202.0,4,2025-11-10
2168,1,203.0,2,2025-11-12
2169,2,204.0,3,2025-11-12
2170,2,204.0,1,2025-11-12
2171,3,204.0,4,2025-11-12
2172,8,203.0,1,2025-11-13
2173,5,205.0,2,2025-11-13
2174,2,205.0,1,2025-11-13
2175,999,201.0,1,2025-11-14
2176,999,202.0,1,2025-11-14
2177,7,203.0,2,2025-11-15
2178,2,201.0,2,2025-11-16
2179,5,203.0,3,2025-11-16
2180,3,201.0,3,2025-11-17
2181,4,201.0,1,2025-11-17
2182,1,205.0,3,not-a-date
2183,2,202.0,1,2025-11-18
2184,3,,3,2025-11-19
2185,4,201.0,2,2025-11-19
2186,6,201.0,3,2025-11-19
2187,3,205.0,4,2025-11-20
2188,5,201.0,2,2025-11-20
2189,2,204.0,3,2025-11-21
2190,6,205.0,3,2025-11-22
2191,7,205.0,-1,2025-11-23
2192,2,202.0,1,2025-11-23
2193,7,201.0,3,2025-11-23
2194,4,204.0,2,2025-11-25
2195,2,203.0,1,2025-11-25
2196,7,203.0,3,2025-11-26
2197,7,205.0,3,2025-11-27
2198,999,203.0,3,2025-11-28
2199,5,203.0,-1,2025-11-28
2200,5,205.0,1,2025-11-29
2201,4,999.0,1,2025-11-30
2202,2,205.0,3,2025-11-30
2203,4,204.0,4,2025-11-30
